Laser delay,Gate width,Counts
14.1,2.9000000000000004,57688.0
14.1,2.8,50578.0
14.1,2.7,44375.0
14.1,2.5999999999999996,38626.0
14.1,2.5,32795.0
14.1,2.4000000000000004,28254.0
14.1,2.3,24597.0
14.1,2.2,21372.0
14.1,2.0999999999999996,18049.0
14.1,2.0,15522.0
14.1,1.9000000000000004,12936.0
14.1,1.8000000000000007,10349.0
14.1,1.6999999999999993,8315.0
14.1,1.5999999999999996,6466.0
14.1,1.5,4750.0
14.1,1.4000000000000004,3340.0
14.1,1.3000000000000007,2098.0
14.1,1.1999999999999993,1210.0
14.1,1.0999999999999996,597.0
14.1,1.0,7.0
14.1,0.9000000000000004,-697.0
14.1,0.8000000000000007,-1250.0
14.1,0.6999999999999993,-1551.0
14.1,0.5999999999999996,-2019.0
14.1,0.5,-2333.0
14.1,0.40000000000000036,-2687.0
14.1,0.3000000000000007,-3030.0
14.1,0.1999999999999993,-3189.0
14.1,0.09999999999999964,-3423.0
14.15,0.0,-3684.0
14.15,-0.09999999999999964,-3863.0
14.15,3.0,72352.0
14.15,2.9000000000000004,62782.0
14.15,2.8,54501.0
14.15,2.7,47826.0
14.15,2.5999999999999996,41887.0
14.15,2.5,35463.0
14.15,2.4000000000000004,30701.0
14.15,2.3,26485.0
14.15,2.2,22770.0
14.15,2.0999999999999996,19788.0
14.15,2.0,16534.0
14.15,1.9000000000000004,13695.0
14.15,1.8000000000000007,11253.0
14.15,1.6999999999999993,9053.0
14.15,1.5999999999999996,6882.0
14.15,1.5,5245.0
14.15,1.4000000000000004,3766.0
14.15,1.3000000000000007,2645.0
14.15,1.1999999999999993,1472.0
14.15,1.0999999999999996,731.0
14.15,1.0,24.0
14.15,0.9000000000000004,-415.0
14.15,0.8000000000000007,-984.0
14.15,0.6999999999999993,-1599.0
14.15,0.5999999999999996,-1905.0
14.15,0.5,-2376.0
14.15,0.40000000000000036,-2781.0
14.15,0.3000000000000007,-2980.0
14.15,0.1999999999999993,-3285.0
14.15,0.09999999999999964,-3405.0
14.2,0.0,-3587.0
14.2,-0.09999999999999964,-3823.0
14.2,3.0,78396.0
14.2,2.9000000000000004,67495.0
14.2,2.8,58533.0
14.2,2.7,51308.0
14.2,2.5999999999999996,44793.0
14.2,2.5,37603.0
14.2,2.4000000000000004,33111.0
14.2,2.3,28132.0
14.2,2.2,24907.0
14.2,2.0999999999999996,21290.0
14.2,2.0,17820.0
14.2,1.9000000000000004,14947.0
14.2,1.8000000000000007,12240.0
14.2,1.6999999999999993,9770.0
14.2,1.5999999999999996,7440.0
14.2,1.5,5464.0
14.2,1.4000000000000004,4033.0
14.2,1.3000000000000007,2648.0
14.2,1.1999999999999993,1708.0
14.2,1.0999999999999996,978.0
14.2,1.0,307.0
14.2,0.9000000000000004,-336.0
14.2,0.8000000000000007,-948.0
14.2,0.6999999999999993,-1551.0
14.2,0.5999999999999996,-1798.0
14.2,0.5,-2236.0
14.2,0.40000000000000036,-2574.0
14.2,0.3000000000000007,-3015.0
14.2,0.1999999999999993,-3167.0
14.2,0.09999999999999964,-3490.0
14.25,0.0,-3615.0
14.25,-0.09999999999999964,-3772.0
14.25,3.0,84962.0
14.25,2.9000000000000004,72640.0
14.25,2.8,63339.0
14.25,2.7,55644.0
14.25,2.5999999999999996,48182.0
14.25,2.5,41755.0
14.25,2.4000000000000004,35729.0
14.25,2.3,30661.0
14.25,2.2,26836.0
14.25,2.0999999999999996,22907.0
14.25,2.0,19339.0
14.25,1.9000000000000004,16111.0
14.25,1.8000000000000007,13207.0
14.25,1.6999999999999993,10581.0
14.25,1.5999999999999996,8389.0
14.25,1.5,6104.0
14.25,1.4000000000000004,4428.0
14.25,1.3000000000000007,3137.0
14.25,1.1999999999999993,2234.0
14.25,1.0999999999999996,1057.0
14.25,1.0,425.0
14.25,0.9000000000000004,-244.0
14.25,0.8000000000000007,-788.0
14.25,0.6999999999999993,-1317.0
14.25,0.5999999999999996,-1635.0
14.25,0.5,-2144.0
14.25,0.40000000000000036,-2584.0
14.25,0.3000000000000007,-2867.0
14.25,0.1999999999999993,-3177.0
14.25,0.09999999999999964,-3385.0
14.3,0.0,-3591.0
14.3,-0.09999999999999964,-3840.0
14.3,3.0,90927.0
14.3,2.9000000000000004,78166.0
14.3,2.8,68333.0
14.3,2.7,59795.0
14.3,2.5999999999999996,52204.0
14.3,2.5,44064.0
14.3,2.4000000000000004,38556.0
14.3,2.3,33396.0
14.3,2.2,29054.0
14.3,2.0999999999999996,24523.0
14.3,2.0,21057.0
14.3,1.9000000000000004,17573.0
14.3,1.8000000000000007,14215.0
14.3,1.6999999999999993,11563.0
14.3,1.5999999999999996,8955.0
14.3,1.5,6629.0
14.3,1.4000000000000004,5171.0
14.3,1.3000000000000007,3528.0
14.3,1.1999999999999993,2450.0
14.3,1.0999999999999996,1446.0
14.3,1.0,553.0
14.3,0.9000000000000004,50.0
14.3,0.8000000000000007,-612.0
14.3,0.6999999999999993,-1251.0
14.3,0.5999999999999996,-1610.0
14.3,0.5,-2223.0
14.3,0.40000000000000036,-2593.0
14.3,0.3000000000000007,-2896.0
14.3,0.1999999999999993,-3023.0
14.3,0.09999999999999964,-3462.0
14.35,0.0,-3657.0
14.35,-0.09999999999999964,-3828.0
14.35,3.0,98001.0
14.35,2.9000000000000004,84708.0
14.35,2.8,73877.0
14.35,2.7,65149.0
14.35,2.5999999999999996,56054.0
14.35,2.5,47851.0
14.35,2.4000000000000004,41376.0
14.35,2.3,36037.0
14.35,2.2,31204.0
14.35,2.0999999999999996,26579.0
14.35,2.0,22304.0
14.35,1.9000000000000004,18684.0
14.35,1.8000000000000007,15501.0
14.35,1.6999999999999993,12519.0
14.35,1.5999999999999996,9704.0
14.35,1.5,7487.0
14.35,1.4000000000000004,5425.0
14.35,1.3000000000000007,3803.0
14.35,1.1999999999999993,2692.0
14.35,1.0999999999999996,1646.0
14.35,1.0,722.0
14.35,0.9000000000000004,131.0
14.35,0.8000000000000007,-527.0
14.35,0.6999999999999993,-1061.0
14.35,0.5999999999999996,-1505.0
14.35,0.5,-2125.0
14.35,0.40000000000000036,-2594.0
14.35,0.3000000000000007,-2840.0
14.35,0.1999999999999993,-3155.0
14.35,0.09999999999999964,-3276.0
14.4,0.0,-3464.0
14.4,-0.09999999999999964,-3963.0
14.4,3.0,105491.0
14.4,2.9000000000000004,91792.0
14.4,2.8,79585.0
14.4,2.7,70135.0
14.4,2.5999999999999996,60779.0
14.4,2.5,51859.0
